action,existing_product_id,existing_variant_id,brand,line,product_type,title,handle,description,benefits,instructions,warnings,category,collection,option_name,variant_title,tone_code,tone_name,presentation,sku,barcode,ean,upc,price_mxn,stock,manage_inventory,allow_backorder,thumbnail_file,image_files,weight_g,length_cm,width_cm,height_cm,sales_channel,shipping_profile,tags,metadata_source,source_reference,notes,review_status
REVIEW_REQUIRED,prod_01KVV3GD5ZD8R40HF48DRBF37A,variant_01KVV3GD87A2S476H48GGKQWK7,Voglia,,Tinte,Voglia Tinte Permanente 90 ml,voglia-tinte-permanente-90ml,,,,,,Voglia,Tono,Genérica actual,,,90 ml,VOGLIA-TINTE-90ML,,,,85,,true,false,,,,,,,,,,catalogo-voglia-2026,,Producto existente. No borrar ni duplicar. Debe decidirse cómo convertirlo en familia de tonos conservando Product ID.,PENDING
UPDATE_EXISTING,prod_01KVXJG9PX1NN0MAYZ283R9H7N,variant_01KVXJG9SAT8J02A1HXGCBSCRT,Voglia,Bioliberarsi,Protección térmica,Voglia All in One Keratin 250 ml,voglia-all-in-one-keratin-250ml,,,,,,Voglia,Presentación,250 ml,,,250 ml,VOGLIA-ALL-IN-ONE-250ML,,,,146,,true,false,voglia-all-in-one-keratin-250ml.png,,,,,,,,,catalogo-voglia-2026,,"Producto existente. Conservar Product ID, Variant ID, handle, SKU, precio e imagen.",PENDING
